ds,y
2012-01-03,11.5
2012-01-04,11.7
2012-01-05,11.6
2012-01-06,11.4
2012-01-09,11.6
2012-01-10,12.2
2012-01-11,12.0
2012-01-12,11.9
2012-01-13,12.0
2012-01-16,12.3
2012-01-17,12.1
2012-01-18,12.3
2012-01-19,12.8
2012-01-20,12.6
2012-01-30,12.8
2012-01-31,13.2
2012-02-01,13.5
2012-02-02,14.2
2012-02-03,13.5
2012-02-06,13.1
2012-02-07,13.6
2012-02-08,14.3
2012-02-09,14.4
2012-02-10,13.9
2012-02-13,13.5
2012-02-14,13.9
2012-02-15,13.7
2012-02-16,13.7
2012-02-17,14.1
2012-02-20,15.0
2012-02-21,15.3
2012-02-22,15.9
2012-02-23,16.5
2012-02-24,16.7
2012-02-27,17.4
2012-02-28,16.4
2012-02-29,16.6
2012-03-01,16.5
2012-03-02,17.6
2012-03-05,18.5
2012-03-06,18.2
2012-03-07,18.0
2012-03-08,16.6
2012-03-09,17.3
2012-03-12,17.9
2012-03-13,17.7
2012-03-14,17.2
2012-03-15,18.1
2012-03-16,18.0
2012-03-19,18.1
2012-03-20,18.0
2012-03-21,19.3
2012-03-22,20.3
2012-03-23,21.4
2012-03-26,22.7
2012-03-27,21.2
2012-03-28,21.2
2012-03-29,19.6
2012-03-30,20.0
2012-04-03,20.6
2012-04-04,20.0
2012-04-05,20.9
2012-04-06,20.5
2012-04-09,21.3
2012-04-10,20.9
2012-04-11,21.6
2012-04-12,21.4
2012-04-13,21.2
2012-04-16,21.8
2012-04-17,21.6
2012-04-18,21.5
2012-04-19,20.3
2012-04-20,20.7
2012-04-23,20.6
2012-04-24,21.0
2012-04-25,21.6
2012-04-26,21.0
2012-04-27,22.4
2012-05-02,23.9
2012-05-03,23.8
2012-05-04,24.0
2012-05-07,25.3
2012-05-08,24.7
2012-05-09,24.7
2012-05-10,24.2
2012-05-11,23.2
2012-05-14,21.5
2012-05-15,20.8
2012-05-16,21.6
2012-05-17,20.6
2012-05-18,19.5
2012-05-21,21.0
2012-05-22,20.8
2012-05-23,19.3
2012-05-24,19.2
2012-05-25,20.1
2012-05-28,19.8
2012-05-29,20.3
2012-05-30,20.3
2012-05-31,19.4
2012-06-01,19.6
2012-06-04,18.4
2012-06-05,19.1
2012-06-06,19.6
2012-06-07,20.5
2012-06-08,20.8
2012-06-11,21.1
2012-06-12,20.0
2012-06-13,19.9
2012-06-14,19.4
2012-06-15,19.4
2012-06-18,19.6
2012-06-19,19.4
2012-06-20,19.4
2012-06-21,19.3
2012-06-22,18.9
2012-06-25,18.0
2012-06-26,17.2
2012-06-27,16.8
2012-06-28,17.3
2012-06-29,16.9
2012-07-02,16.6
2012-07-03,15.6
2012-07-04,14.8
2012-07-05,15.9
2012-07-06,17.0
2012-07-09,16.5
2012-07-10,16.5
2012-07-11,16.9
2012-07-12,17.3
2012-07-13,17.8
2012-07-16,17.8
2012-07-17,18.2
2012-07-18,18.2
2012-07-19,18.9
2012-07-20,18.6
2012-07-23,18.3
2012-07-24,17.5
2012-07-25,17.6
2012-07-26,17.6
2012-07-27,17.7
2012-07-30,17.7
2012-07-31,17.9
2012-08-01,17.8
2012-08-02,17.9
2012-08-03,17.9
2012-08-06,18.4
2012-08-07,17.9
2012-08-08,18.2
2012-08-09,18.3
2012-08-10,18.1
2012-08-13,17.0
2012-08-14,17.0
2012-08-15,17.0
